target_pop_size	latelife_pop_change
220214.2134307	5.54975346870728
240860.317481423	2.11844612983965
202925.102035555	6.35958833608979
175772.533930577	7.31645270972983
329133.817250105	8.22918659232688
374136.892543039	3.26452407119807
241993.736342182	5.1516
312964.359588805	6.20591431665294
201938.669535923	5.78877352170355
218358.11998442	8.40175532471172
236658.742104904	6.50809008142504
358813.655924425	4.1329513835853
260879.949443824	4.98238031137411
198690.319554892	3.87984834357676
252965.447856964	8.53630130833346
153877.671769868	4.14815019786834
202448.985387814	5.35085542397664
202250.391502686	3.73358801153996
207779.299530278	8.41528202757863
258654.041037465	5.5842
179257.974319827	3.75350484020602
372287.732953397	2.6766
194213.164915458	9.1417266294927
394175.189552809	7.18428174862315
221255.795805986	6.40124857891289
205817.754020603	5.37995074726349
286846.845993297	9.2467042672925
256758.606327285	5.83232637834589
267878.148691534	7.71529229931714
180229.358834083	7.05288540105545
232138.214820227	8.0333790740795
252248.378016154	3.01617987615107
390549.939111346	5.27376658675466
197369.278472087	7.39549232386038
291975.662865089	5.15484283088251
277042.64713995	7.02570274747301
247771.009027856	5.47781005316446
289870.815360095	3.90581031995734
269387.296924568	8.7946544657366
166420.130626062	7.35976573887609
222656.347329082	7.25381351717646
279711.384054021	4.20813844464356
324229.725591286	6.8278714024943
234482.879777549	5.4510109717124
189246.870827027	4.7643723976084
363426.509555294	6.69662549689582
419193.938681188	5.80953384850438
213515.76328986	4.02195668986956
193757.82305631	7.1405158139344
252222.26041272	6.02658196712756
373014.466707705	8.54102694739144
207140.323105938	5.93949747018662
264708.848518468	6.76640350779475
219415.820496197	8.77230241179962
178204.846283618	7.99479356577357
229797.896472814	6.9928
203845.670592443	4.99312852922461
176767.08540074	3.1226698767577
297977.378961051	7.32837941297578
242339.313311423	7.336234766608
268971.573324582	7.32446598564147
328023.706815526	8.12184593392798
249716.783428312	8.23923163095727
312027.003126667	5.19128289655268
247560.606582027	2.51323010260857
292386.843071939	7.21712507986444
309269.723871052	5.95680081821199
226426.27981602	8.8144
232915.700317327	9.6118348626308
269840.204228093	8.94847314841747
154992.851519544	7.1117
344691.089354924	8.27934538181792
174379.462216242	7.63451163354152
133159.644469463	8.74374632990735
294506.097580153	6.94437261571389
264377.851650501	7.53250839820047
279750.217725157	7.7619926335222
271481.181369868	8.16000344162317
357643.702870108	4.56200729883786
215181.327713892	3.55507366369365
277713.614759448	9.3306172351722
427931.864122857	3.76839519669145
259945.662439488	6.65249016822075
215680.209073804	8.91789571745676
415309.57418985	8.22284073274788
363076.112085661	0.774769011316776
288080.254138083	9.73063889020682
223307.613272424	6.22516233553833
189280.062523843	5.99233965690286
297095.913257993	2.19277727568841
251997.595912559	7.91395042292281
190191.781405971	2.9145
271129.815565283	2.9955131353211
275280.191313447	3.93870134866951
249456.867082201	5.59329049572038
250375.312457445	7.09503019096003
234192.725591559	9.92159550544809
278646.287261944	8.2968560480472
217161.701189983	7.45678438280866
297246.249787097	4.5018
335554.840164949	9.01426379831846
380959.157609245	3.99110308908873
399765.62048965	6.69571382270034
154126.508440751	3.3734
224995.317717822	7.34535126150446
250021.15303475	3.61277597948129
325414.071245285	6.2821
252751.893877349	5.96558644033122
202694.593689053	6.1153
273908.233796263	8.34397307883361
